user_id,book_id_list
210,"11936,254097,709075,840500,971259,1037723,1074594,1281035,1673950,2180196,2195786,2225251,2274394,2286120,2300795,2370751,2447113,2600001,3015694,3988468"
1380,"8369,28302,145975,482934,625734,998313,1098150,1326209,1720918,2186305,2209477,2231328,2290484,2349719,2351675,2356900,2379664,2486212,2548861,8467358"
2050,"4902,8369,18790,308364,317849,460492,822326,867246,1021078,1037723,1240867,1918727,2053462,2254200,2300795,2347744,2388640,2424516,2465924,2575827"
2740,"39221,112023,149611,162418,181062,317050,435659,521395,549194,987516,1012432,1093541,1296620,1339705,1553798,1737221,1742695,1834192,2107128,2181231,2307893,2327258,2479424,5535190"
4621,"28638,28639,28642,28901,31479,307058,475353,572338,633703,1341761,1809950,1838666,1964216,1964217,2191492,2225251,2274394,2347564,2347566,2347567,2347568,2348778,2360444,2446685,2446687,2448177,2450997,2458413,2463263,2533822,2576738,2595660,3015694,3185149,3959194,4022218,4121227,4294558,4472386,4561960,4841518"
4961,"6892,305091,420807,832722,1035814,1118435,1360858,1385630,1720918,1785776,1819867,1894419,1902534,2077927,2129220,2254913,2303346,2318816,2349719,3756355"
7701,"584,27661,34134,36960,117264,170357,199275,402609,408094,545784,625734,971769,1118435,1726761,1742492,1848808,1876718,2178756,2534924,5143300"
9631,"113365,310397,311519,313569,321045,435745,443473,444586,450195,507057,822326,1338435,2352976,2444431,2526643,2531639,2563979,2856193,3862957,4018180"
9661,"8369,28302,103890,220899,361725,428685,536767,567105,687894,800684,873230,1074594,1350395,1360858,1442680,1727705,2071831,2209477,2486212,3193318"
10210,"181149,305091,472745,592415,620361,722880,867246,1101948,1118435,1240867,1462299,1918727,2186305,2300478,2300795,2369118,2534924,2592545,4379539,4421068"
15250,"110160,438093,531550,2077927,2237589,2411079,2459166,2486212,2523207,2575020,2592020,2805265,3180832,3775687,3876841,4009867,4354132,4612216,4667962,4809379"
17231,"8369,316274,389215,454134,800684,1350395,1462299,1609097,1769545,1785776,1902534,2042862,2101235,2199462,2286863,2534924,2592020,2599190,5679028,8467358"
17901,"18790,28302,220899,625273,625734,867246,1240867,1812070,1918727,1947821,2141878,2214808,2216349,2300795,2462785,2465924,2473996,2523793,2575827,3860362"
20161,"8378,166554,304428,305091,306238,468013,471655,473795,625734,885184,1035814,1593466,1593487,1653700,1727705,1785776,2101235,2352976,2486212,2599190"
20500,"181149,200343,212216,220837,420807,716862,826458,1098150,1957553,2209477,2259490,2351675,2352976,2407015,2448177,2486212,2525028,2573241,4377052,5220724"
20611,"18790,840500,867246,1350395,1918727,2019613,2180196,2195786,2214808,2286120,2300795,2555490,2602851,2856193,3004519,3061525,3459604,3795490,4380805,6841975"
21251,"119935,307742,444827,558188,625360,709849,2214680,2544517,2854789,2925391,3157387,3229138,3232549,3593485,3767155,3862594,4134889,4370920,4407553,4528741,4542553,4587922,4648684,4692691,4701283,4703839,4783636,5106604"
21911,"312747,389215,454134,867246,868187,971769,1098150,1609097,1670299,1858824,1902534,1918727,2141878,2214808,2254913,2352976,2448177,2465924,2486212,3756355"
21990,"18790,316084,317618,454134,470309,541946,867246,986361,1240867,1357735,1812070,1871112,1947821,2053462,2214808,2216349,2465924,2473996,2523793,2575827"
22130,"25357,113628,304428,306238,449274,476483,488025,531550,567105,893319,1068877,1121649,1727705,1796985,1930356,1956388,2212806,2532419,3182068,5194960"
22220,"29452,129756,312594,397490,433856,439922,465734,491653,495858,537051,658541,667007,689531,696501,716862,1003005,1037723,1304561,2286863,2353418"
22431,"5428,21324,37177,78643,114431,181149,220899,535707,573666,1074594,1118435,1121649,1560733,1726761,1858824,2303346,2407430,2443673,2486212,5143300"
22840,"103142,103890,305091,434741,473795,485757,577472,610508,625734,632089,709075,716862,839851,998313,1799031,2209477,2452713,2486212,2524376,2599190"
23081,"196603,306238,521832,610508,1229855,1353337,1729986,1753357,1902534,2077927,2101235,2592020,2989726,3892507,4398748,4795015,4873813,5066644,5075707,5095084"
23491,"220899,305091,306238,313148,316060,433803,438402,443473,449377,473795,485341,1074594,1098150,1218400,1323687,1726761,1900041,2247538,2364305,5014288"
24350,"118528,196603,306238,361725,420807,709075,716862,1037723,1101948,1271808,1726761,2129220,2254913,2297476,2349719,2463719,2599190,3992359,5143300,5679028"
24351,"8369,24551,326265,361725,386870,409458,438253,501190,531001,716862,1074594,1101948,1796985,1809437,2042862,2231328,2303346,2580687,7220107,7804328"
24540,"763,1232,1245,9224,123845,187771,191959,199213,221414,314330,446580,453646,455217,461198,469039,532580,535146,557350,847878,2433485,2597805,4172971,5201326,5227168"
24621,"317,126927,166554,459282,485757,828221,1121649,1785776,1836702,1858824,2077927,2186305,2351675,2407015,2448177,2478329,4709521,4731340,4778671,4887496"
24660,"715,17761,389215,454134,468389,476483,481572,536767,800684,868187,1612347,2042862,2297476,2321956,2347744,2454485,2518136,3534874,5679028,8467358"
24770,"8369,28302,103890,181149,305091,308364,361725,1037723,1098150,1446974,1798025,2131332,2209477,2352976,2407015,2450614,2524593,2573241,2592020,3756256"
26980,"715,11623,17761,25357,30117,31876,33078,123019,181149,481572,633013,822326,1350395,1653700,1726761,1856383,1968152,2297476,2303346,6609733"
27041,"35842,304428,305091,380194,457103,557061,625734,1100906,1316207,1653700,2101235,2391766,2423847,2486212,2532414,2578149,2599190,4000258,4199446,4625173"
27141,"103890,145975,716862,962437,962441,1214828,1766131,1785776,1836702,2042862,2077927,2388640,2388641,2388642,2448177,2454485,2466103,2485599,3418957,8467358"
27731,"317,6892,10480,28302,220899,272375,306238,428685,473795,709075,716862,828221,882479,1609097,1726761,2019613,2209477,2352976,2424516,3756355"
27741,"317,438783,521832,538999,586643,681470,722880,868187,971769,1037723,1200461,1229855,1350395,1350519,1353337,2077927,2186305,2347744,2424516,2614362"
27770,"28302,181149,321553,361725,420807,473795,531001,1293017,1785776,2297476,2314540,2525634,2580687,2599190,2606928,3248050,3908188,5143300,6609733,7804328"
27781,"1079,8369,145975,200121,212216,220837,441122,826458,1005109,1077459,1101948,2259490,2321956,2424291,2580687,2591988,3769135,3865477,4555081,8467358"
