genre_id,genre_name,books_count
1,Бизнес-книги,270
2,Банковское-дело,69
3,Бухучет-налогообложение-аудит,12
5,Делопроизводство,15
6,Зарубежная-деловая-литература,3
7,Интернет-бизнес,64
8,Кадровый-менеджмент,37
12,Коучинг,53
13,Мотивация,192
16,Управление-персоналом,149
17,Корпоративная-культура,25
18,Личная-эффективность,219
19,Личные-финансы,55
22,Маркетинг-pr-реклама,246
23,Pr,59
25,Брендинг,36
27,Интернет-маркетинг,7
35,Отношения-с-клиентами,20
38,Реклама,33
43,Менеджмент,425
44,Mba,4
46,Бизнес-процессы,70
49,Лидерство,122
52,Стратегический-менеджмент,18
53,Управление-бизнесом,151
54,Управление-качеством,17
56,Финансовый-менеджмент,12
59,Недвижимость,5
60,О-бизнесе-популярно,189
65,Истории-успеха,149
67,Креатив-идеи,21
72,Российская-практика,13
74,Советы-от-гуру,9
75,Эффективность-бизнеса,8
76,Ораторское-искусство-риторика,56
77,Отраслевые-издания,9
78,Переговоры,61
79,Поиск-работы-карьера,53
81,Продажи,47
83,Техника-продаж,46
85,Успешные-переговоры,9
87,Эффективная-презентация,7
89,Стартапы-и-создание-бизнеса,19
90,Тайм-менеджмент,37
91,Финансы,23
99,Трейдинг,27
101,Ценные-бумаги-инвестиции,75
102,Экономика,159
104,История-экономики,40
107,Макроэкономика,7
110,Общая-экономическая-теория,18
116,Экономическая-статистика,7
117,Экономический-анализ,5
119,Боевики-остросюжетная-литература,105
120,Боевая-фантастика,823
121,Боевики,39
122,Вестерны,10
123,Зарубежные-боевики,2
124,Криминальные-боевики,14
125,Триллеры,1312
126,Детективы,462
127,Зарубежные-детективы,2622
128,Иронические-детективы,270
129,Исторические-детективы,298
130,Классические-детективы,796
131,Крутой-детектив,31
132,Политические-детективы,28
133,Полицейские-детективы,266
134,Современные-детективы,851
136,Шпионские-детективы,57
137,Детские-книги,1180
140,Детская-познавательная-и-развивающая-литература,421
141,Детская-проза,952
142,Детская-фантастика,793
143,Детские-детективы,519
144,Детские-приключения,489
145,Детские-стихи,87
146,Зарубежные-детские-книги,1888
148,Книги-для-дошкольников,118
149,Книги-для-подростков,2562
150,Сказки,979
151,Прочая-учебная-литература,31
152,Школьные-учебники,23
355,Школьные-методические-пособия,75
357,Школьные-учебники-по-английскому-языку,3
364,Школьные-учебники-по-истории,4
377,Школьные-учебники-по-русскому-языку,10
382,Школьные-учебники-по-химии,1
387,Дом-семья-хобби-и-досуг,99
389,Воспитание-детей,397
390,Домашние-животные,84
391,Зарубежная-прикладная-литература,34
392,Изобразительное-искусство,172
393,Интерьеры,9
394,Искусство-фотографии,100
395,Кулинария,182
396,Мода-и-стиль,127
397,Отдых-туризм,16
398,Охота,3
400,Природа-и-животные,70
401,Развлечения,44
402,Рукоделие-ремесла,18
404,Сад-и-огород,8
405,Самосовершенствование,506
406,Сделай-сам,21
407,Спорт-фитнес,130
408,Хобби-увлечения,42
409,Зарубежная-литература,960
412,Зарубежная-классика,4017
414,Зарубежная-литература-о-культуре-и-искусстве,63
415,Зарубежная-образовательная-литература,17
416,Зарубежная-поэзия,177
418,Зарубежная-психология,27
419,Зарубежная-публицистика,39
420,Зарубежная-религиозная-и-эзотерическая-литература,3
423,Зарубежная-старинная-литература,7
424,Зарубежная-фантастика,2385
426,Зарубежное-фэнтези,2997
430,Зарубежные-любовные-романы,2038
431,Зарубежные-приключения,63
432,Зарубежный-юмор,15
433,Современная-зарубежная-литература,6465
434,Классическая-литература,387
435,Античная-литература,53
436,Древневосточная-литература,9
437,Древнерусская-литература,7
438,Европейская-старинная-литература,24
441,Классическая-проза,2069
442,Литература-18-века,35
443,Литература-19-века,438
